SMILES_c,t_half_ms,SMILES_o,
CC12N3C(SC4=C3C=CC=C4)=C5C(C(F)(F)C(F)(F)C5(F)F)=C1C=C(C6=CC=CC=C6)S2,22.6,CC1=C(C=C(S1)C2=CC=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC(C=CC=C5)=C5S4,
CC12N3C(OC4=C3C=CC=C4)=C5C(C(F)(F)C(F)(F)C5(F)F)=C1C=C(C6=CC=CC=C6)S2,506,CC1=C(C=C(S1)C2=CC=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC(C=CC=C5)=C5O4,
CC12N3C(N(C)C4=C3C=CC=C4)=C5C(C(F)(F)C(F)(F)C5(F)F)=C1C=C(C6=CC=CC=C6)S2,10000,CC1=C(C=C(S1)C2=CC=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC(C=CC=C5)=C5N4C,
CC12N3C(SC4=C3C=CC=C4)=C5C(C6=CC=CC=C6S5(=O)=O)=C1C=C(C7=CC=CC=C7)S2,185,CC1=C(C=C(S1)C2=CC=CC=C2)C(C3=CC=CC=C3S4(=O)=O)=C4C5=NC(C=CC=C6)=C6S5,
CC12N3C(OC4=C3C=CC=C4)=C5C(C6=CC=CC=C6S5(=O)=O)=C1C=C(C7=CC=CC=C7)S2,6850,CC1=C(C=C(S1)C2=CC=CC=C2)C(C3=CC=CC=C3S4(=O)=O)=C4C5=NC(C=CC=C6)=C6O5,
CC12N3C(N(C)C4=C3C=CC=C4)=C5C(C6=CC=CC=C6S5(=O)=O)=C1C=C(C7=CC=CC=C7)S2,882000,CC1=C(C=C(S1)C2=CC=CC=C2)C(C3=CC=CC=C3S4(=O)=O)=C4C5=NC(C=CC=C6)=C6N5C,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1N=C(C5=CC=CC=C5)S2,12,CC1=C(N=C(S1)C2=CC=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
C[C@]12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1C5=C(C=CC=C5)S2,17,CC1=C(C2=C(S1)C=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1C5=C(C=CC=C5)O2,35,CC1=C(C2=C(O1)C=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1SC(C5=CC=CC=C5)=C2,0.44,CC1=C(SC(C2=CC=CC=C2)=C1)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1C=C(C5=CC=CC=C5)S2,18,CC1=C(C=C(S1)C2=CC=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1SC5=CC=CC=C25,0.41,CC1=C(SC2=CC=CC=C12)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1OC5=CC=CC=C25,12,CC1=C(OC2=CC=CC=C12)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
C1(SC2=C3N=C(C4=CC=CC=C4)SC35)=CC=CC=C1C2=C6N5C(C=CC=C7)=C7S6,18.6,C12=CC=CC=C1C(C3=NC4=C(S3)C=CC=C4)=C(C5=CSC(C6=CC=CC=C6)=N5)S2,
CC1(C)C2=CC=C3C4=C(C=CC=C4)SC3N2C5=CC=CC=C51,1078300000,CC1(C(/C=C\C2=CSC3=C2C=CC=C3)=NC4=CC=CC=C41)C,
C1(N23)=CC=CC=C1SC2=CC=C4C3C=CC=C4,4.16E-05,C12=CC=CC=C1SC(/C=C\C3=CC=CC=C3)=N2,
COC(C(OC)=C1)=CC2C1=CC=C3N2C4=CC=CC=C4S3,0.001439,COC1=CC=C(/C=C\C2=NC3=CC=CC=C3S2)C=C1OC,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1C5=C(C=CC=C5)S2(=O)=O,1.48E+07,CC1=C(C2=C(S1(=O)=O)C=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
CC12N3C(SC(C)=C3)=C4C(C(F)(F)C(F)(F)C4(F)F)=C1C5=C(C=C(OC)C=C5)S2(=O)=O,3.60E+07,CC1=C(C2=C(S1(=O)=O)C=C(C=C2)OC)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC=C(C)S4,
CC12N3C(SC4=C3C=CC=C4)=C5C(C(F)(F)C(F)(F)C5(F)F)=C1C6=C(C=CC=C6)S2(=O)=O,3.20E+08,CC1=C(C2=C(S1(=O)=O)C=CC=C2)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC(C=CC=C5)=C5S4,
CC12N3C(SC4=C3C=CC=C4)=C5C(C(F)(F)C(F)(F)C5(F)F)=C1C6=C(C=C(OC)C=C6)S2(=O)=O,1.56E+09,CC1=C(C2=C(S1(=O)=O)C=C(C=C2)OC)C(C(F)(C(F)(C3(F)F)F)F)=C3C4=NC(C=CC=C5)=C5S4,
CC12SC(C3=CC=CC=C3)=CC1=C4C(C(F)=C(F)C(F)=C4F)=C5C(C)2SC(C6=CC=CC=C6)=C5,1.30E+02,CC1=C(C2=C(C3=C(C)SC(C4=CC=CC=C4)=C3)C(F)=C(F)C(F)=C2F)C=C(S1)C5=CC=CC=C5,
CC12SC(C3=CC=CC=C3)=NC1=C4C(C(F)=C(F)C(F)=C4F)=C5C(C)2SC(C6=CC=CC=C6)=N5,1.60E+03,CC1=C(C2=C(C3=C(C)SC(C4=CC=CC=C4)=N3)C(F)=C(F)C(F)=C2F)N=C(S1)C5=CC=CC=C5,
CC12OC(C3=CC=CC=C3)=NC1=C4C(C(F)=C(F)C(F)=C4F)=C5C(C)2OC(C6=CC=CC=C6)=N5,5.80E+05,CC1=C(C2=C(C3=C(C)OC(C4=CC=CC=C4)=N3)C(F)=C(F)C(F)=C2F)N=C(O1)C5=CC=CC=C5,
CC12SC(C3=CC=CC=C3)=NC1=C4C(C([H])=C(F)C(F)=C4[H])=C5C(C)2SC(C6=CC=CC=C6)=N5,2.80E+05,CC1=C(C2=C(C3=C(C)SC(C4=CC=CC=C4)=N3)C([H])=C(F)C(F)=C2[H])N=C(S1)C5=CC=CC=C5,
C12=C3C=CSC3C(SC=C4)C4=C1C=CC=C2,6.20E+01,C1(C2=CSC=C2)=CC=CC=C1C3=CSC=C3,备注：oB97X-D
